"Country.Region";"population";"PopulationUN";"continent";"subcontinent";"Pop_0-4";"Pop_5-9";"Pop_10-14";"Pop_15-19";"Pop_20-24";"Pop_25-29";"Pop_30-34";"Pop_35-39";"Pop_40-44";"Pop_45-49";"Pop_50-54";"Pop_55-59";"Pop_60-64";"Pop_65-69";"Pop_70-74";"Pop_75-79";"Pop_80-84";"Pop_85-89";"Pop_90-94";"Pop_95-99";"100+";"Density_per_km2";"Deaths"
"Dominican Rep.";10358320;11108000;"Latin America and the Caribbean";"Caribbean";1003;997;977;959;940;915;826;739;668;606;541;473;389;294;204;137;95;53;23;8;2;224.5;324000
"Sweden";10333456;10122000;"Europe";"Channel Islands";601;593;586;541;544;733;693;627;609;655;679;617;567;527;564;430;270;162;77;21;2;24.6;456000
"Portugal";10276617;10218000;"Europe";"Southern Europe";401;440;490;525;540;534;561;654;765;810;743;738;673;621;567;451;352;224;85;19;2;111.3;545000
"Azerbaijan";10067108;10100000;"Asia";"Western Asia";825;861;698;637;719;890;941;825;664;617;628;653;497;308;152;91;88;35;9;1;0;122.7;334000
"Hungary";9772756;9621000;"Europe";"Eastern Europe";461;447;483;486;518;634;612;645;815;774;648;553;636;670;476;371;240;132;46;13;1;106.7;609000
"United Arab Emirates";9770529;9813000;"Asia";"Western Asia";499;513;453;390;716;1434;1796;1374;916;692;457;341;186;57;36;20;7;4;1;0;0;118.3;70000
"Belarus";9413446;9415000;"Europe";"Eastern Europe";548;596;485;444;425;652;814;716;653;633;592;754;665;578;270;256;219;101;42;6;0;46.6;593000
"Israel";9168750;8714000;"Asia";"Western Asia";848;823;738;667;624;573;565;558;544;497;418;378;350;354;289;171;124;84;40;12;1;400;222000
"Honduras";9158345;9719000;"Latin America and the Caribbean";"Central America";1017;989;1024;1041;1015;891;784;687;580;468;381;299;237;183;123;83;55;32;13;4;0;88.5;211000
"Tajikistan";9127000;9475000;"Asia";"Central Asia";1357;1221;977;811;834;815;786;604;473;410;372;329;246;142;78;40;30;10;3;0;0;68.1;220000
"Papua New Guinea";8935000;8756000;"Oceania";"Oceania";1107;1043;994;924;837;717;637;584;511;428;349;280;217;155;90;47;20;6;1;0;0;19.8;318000
"Austria";8902600;8782000;"Europe";"Western Europe";448;426;424;452;509;607;620;623;566;613;713;694;582;451;407;383;260;142;67;17;1;109.3;437000
"Switzerland";8586550;8671000;"Europe";"Western Europe";452;433;410;425;484;556;598;622;571;596;677;644;536;442;422;330;229;145;67;16;2;219;340000
"Sierra Leone";7901454;8047000;"Africa";"Western Africa";1159;1067;992;875;754;651;554;463;373;300;236;183;136;98;68;40;19;6;1;0;0;110.5;451000
"Togo";7538000;8384000;"Africa";"Western Africa";1220;1120;1024;891;744;632;567;497;415;330;255;196;148;108;72;40;16;4;1;0;0;152.2;334000
"Hong Kong";7500700;7548000;"Asia";"Eastern Asia";363;302;286;267;374;493;536;586;566;564;569;639;589;460;344;181;178;120;60;18;4;7140;242000
"Paraguay";7152703;7066000;"South America";"Oceania";701;683;677;659;678;643;595;514;407;321;291;258;220;182;128;86;54;24;10;2;0;18;189000
"Laos";7123205;7165000;"Asia";"South-Eastern Asia";797;770;758;709;692;671;591;496;417;356;289;238;184;134;85;52;27;10;2;0;0;31.5;227000
"Bulgaria";7000039;6941000;"Europe";"Eastern Europe";313;337;371;315;299;390;481;477;535;527;477;468;467;455;425;286;192;101;28;5;0;64;544000
"Serbia";6963764;8704000;"Europe";"Southern Europe";419;437;487;513;529;573;618;597;622;608;571;551;548;595;464;266;204;105;28;3;0;99.9;580000
"Lebanon";6855713;6020000;"Asia";"Western Asia";566;586;559;576;593;583;522;488;453;410;390;334;249;198;131;80;63;33;8;1;0;667.2;144000
"Libya";6777452;6662000;"Africa";"Northern Africa";624;661;624;562;542;553;585;578;565;485;372;245;164;120;80;59;34;14;4;0;0;3.9;168000
"El Salvador";6704864;6479000;"Latin America and the Caribbean";"Central America";576;571;578;588;633;583;474;408;382;344;303;265;221;185;140;109;75;38;12;2;0;313;225000
"Kyrgyzstan";6490300;6302000;"Asia";"Central Asia";760;769;601;500;514;569;572;443;361;325;296;285;220;144;79;33;33;16;4;1;0;34;189000
"Nicaragua";6460411;6417000;"Latin America and the Caribbean";"Central America";657;660;637;603;585;581;549;506;421;342;274;233;199;149;83;67;43;22;9;2;0;55;163000
"Turkmenistan";5942089;6031000;"Asia";"Central Asia";661;672;524;485;462;548;525;433;378;319;284;252;201;133;69;35;33;13;5;1;0;12.8;204000
"Denmark";5822763;5797000;"Europe";"Channel Islands";309;297;337;339;374;402;355;317;361;377;422;388;346;309;351;235;147;78;36;10;1;136.5;279000
"Singapore";5703600;5935000;"Asia";"South-Eastern Asia";258;221;241;265;398;436;435;462;473;492;466;480;444;356;190;99;73;40;17;4;1;8357.6;127000
"Finland";5527573;5580000;"Europe";"Channel Islands";264;305;310;296;313;359;347;359;345;314;351;370;357;356;358;225;159;96;44;10;1;18.2;268000
"Central African Republic";5496011;4921000;"Africa";"Middle Africa";738;697;667;597;483;357;277;224;183;157;129;104;81;58;38;24;11;3;1;0;0;7.8;289000
"Slovakia";5456362;5451000;"Europe";"Eastern Europe";284;283;283;263;291;365;410;437;458;404;347;362;362;333;237;162;100;57;19;3;0;113.5;269000
"Congo";5380508;5687000;"Africa";"Middle Africa";822;770;685;573;476;398;354;326;294;242;189;139;97;67;44;26;12;3;0;0;0;16.2;175000
"Norway";5367580;5450000;"Europe";"Channel Islands";302;313;321;322;353;373;377;362;347;378;377;335;311;275;267;180;113;71;34;10;1;14.8;212000
"Costa Rica";5058007;5044000;"Latin America and the Caribbean";"Central America";348;358;355;363;400;424;431;395;348;302;305;297;244;179;139;92;60;33;15;4;1;99.8;125000
"Palestine";4976684;5323000;"Asia";"Western Asia";693;672;592;517;499;467;370;294;247;201;167;130;88;64;48;29;15;5;1;0;0;847.4;83000
